Ruta;Nombre;Shader;Categoria;Uso;Especial;Avisos;Texturas
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Others/HealthItem/Materials/sphereHealthTexture.mat;sphereHealthTexture;Mobile/Diffuse;Built-in de Unity (Mobile/Diffuse);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/proto_mobile 1.mat;proto_mobile 1;Mobile/Diffuse;Built-in de Unity (Mobile/Diffuse);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; "
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/proto_mobile.mat;proto_mobile;Mobile/Diffuse;Built-in de Unity (Mobile/Diffuse);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; "
Assets/Art/World/boss_of_war/materials/Standard/anvil.mat;anvil;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Art/World/boss_of_war/materials/Standard/aqueduct.mat;aqueduct;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=OK; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Art/World/boss_of_war/materials/Standard/aqueduct_2.mat;aqueduct_2;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=OK; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Art/World/boss_of_war/materials/Standard/aqueduct_3.mat;aqueduct_3;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=OK; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Art/World/boss_of_war/materials/Standard/big_stone.mat;big_stone;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=OK; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Art/World/boss_of_war/materials/Standard/big_stone_2.mat;big_stone_2;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=OK; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Art/World/boss_of_war/materials/Standard/cube_stone.mat;cube_stone;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=OK; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Art/World/boss_of_war/materials/Standard/forceps.mat;forceps;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Art/World/boss_of_war/materials/Standard/gate.mat;gate;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=OK; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Art/World/boss_of_war/materials/Standard/hummer.mat;hummer;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Art/World/boss_of_war/materials/Standard/kruk.mat;kruk;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=VACIO; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Art/World/boss_of_war/materials/Standard/podium.mat;podium;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=OK; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Art/World/boss_of_war/materials/Standard/wall.mat;wall;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=OK; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
Assets/Art/World/boss_of_war/materials/Standard/wall_stone.mat;wall_stone;Standard;Built-in de Unity (Standard);Sin uso detectado;;Shader built-in de Unity — revisar si necesita migrarse;"_MainTex=OK; _MetallicGlossMap=OK; _BumpMap=OK; _ParallaxMap=VACIO; _OcclusionMap=OK; _EmissionMap=VACIO; _DetailMask=VACIO; _DetailAlbedoMap=VACIO; _DetailNormalMap=VACIO; "
