Ruta;ShaderAnterior;Albedo;Normal;Emission;Advertencias
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/proto_gray.mat;Standard;_MainTex;_BumpMap;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/proto_orange.mat;Standard;_MainTex;;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/proto_red.mat;Standard;_MainTex;;;
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/Materials/statue_blue.mat;Standard;;_BumpMap;;Sin Albedo de origen — revisar a mano
Assets/Plugins/Invector-3rdPersonController_LITE/3D Models/Textures/prototype_textures/blue_floor_Tiled 1.mat;Standard;_MainTex;_BumpMap;;
Assets/Plugins/Invector-3rdPersonController_LITE/Resources/Materials/comparacao.mat;Standard;_MainTex;;;
Assets/VFX/Hovl Studio/Procedural fire/Demo scene/Floor3.mat;Standard;_MainTex;_BumpMap;;
Assets/VFX/Magic VFX/Magic VFX - Ice (FREE)/Models/Materials/PlaneMaterial 1.mat;Standard;;;;Sin Albedo de origen — revisar a mano
Assets/VFX/Matthew Guz/Spell Area of Effect FREE/Materials/Floor/Floor.mat;Standard;_MainTex;;;
Assets/VFX/Travis Game Assets/Hit Impact Effects/Demo Scene/Materials/HitImpactEffects_Floor.mat;Standard;_MainTex;;;
Assets/Plugins/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Spellcasting Animations/Materials/HumanSpellcastingAnimations_Floor.mat;Unlit/Color;;;;Sin Albedo de origen — revisar a mano
Assets/VFX/Free Game VFX/Materials/Plane.mat;Unlit/Color;;;;Sin Albedo de origen — revisar a mano
Assets/Plugins/Kevin Iglesias/Human Animations/Materials/HumanAnimations_Dummy-Purple.mat;Unlit/Texture;_MainTex;;;
Assets/Plugins/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Spellcasting Animations/Materials/HumanSpellcastingAnimations_Props.mat;Unlit/Texture;_MainTex;;;
Assets/Art/World/RPG Tiny Fantasy World 01 PBR/Material/Special/Grass01.mat;Shader Graphs/Grass;;;;Sin Albedo de origen — revisar a mano
Assets/Art/World/RPG Tiny Fantasy World 01 PBR/Material/Special/Grass02.mat;Shader Graphs/Grass;;;;Sin Albedo de origen — revisar a mano
Assets/Art/World/RPG Tiny Fantasy World 01 PBR/Material/Special/Grass03.mat;Shader Graphs/Grass;;;;Sin Albedo de origen — revisar a mano
Assets/Art/World/RPG Tiny Fantasy World 01 PBR/Material/Special/Tree01.mat;Shader Graphs/Grass;;;;Sin Albedo de origen — revisar a mano
Assets/Art/World/RPG Tiny Fantasy World 01 PBR/Shader/Grass.shadergraph;Shader Graphs/Grass;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/RPG Tiny Hero Duo/Material/PBRMaskTint.mat;URPMasktTintPBR;;;;Sin Albedo de origen — revisar a mano
Assets/Art/World/RPG Tiny Fantasy World 01 PBR/RPGTinyHeroWorldBundlePBR/RPGTinyHeroWavePBR/Shader/URPMasktTintPBR.ShaderGraph;URPMasktTintPBR;;;;Sin Albedo de origen — revisar a mano
Assets/Plugins/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Materials/HumanBasicMotions_SceneBackground.mat;Custom/Kevin Iglesias/Human Basic Motions Scene;;;;Sin Albedo de origen — revisar a mano
Assets/Plugins/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Materials/HumanBasicMotions_SceneBase.mat;Custom/Kevin Iglesias/Human Basic Motions Scene;_MainTex;;;
Assets/Plugins/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Materials/HumanBasicMotions_SceneBaseSides.mat;Custom/Kevin Iglesias/Human Basic Motions Scene;;;;Sin Albedo de origen — revisar a mano
Assets/Plugins/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Materials/HumanBasicMotions_SceneChair.mat;Custom/Kevin Iglesias/Human Basic Motions Scene;;;;Sin Albedo de origen — revisar a mano
Assets/Plugins/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Materials/HumanBasicMotions_SceneDummy.mat;Custom/Kevin Iglesias/Human Basic Motions Scene;_MainTex;;;
Assets/Plugins/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Materials/HumanBasicMotions_SceneFood.mat;Custom/Kevin Iglesias/Human Basic Motions Scene;_MainTex;;;
Assets/VFX/100BestEffectPack/Standard Assets/Effects/TessellationShaders/Materials/TesselatedBumpSpecularDisplacement.mat;Tessellation/Bumped Specular (displacement);;_BumpMap;;Sin Albedo de origen — revisar a mano
Assets/VFX/100BestEffectPack/Standard Assets/Effects/TessellationShaders/Materials/TesselatedBumpSpecularSmooth.mat;Tessellation/Bumped Specular (smooth);;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/Enemies/Mini Legion Rock Golem PBR HP Polyart/Materials/HP_Golem.mat;Toon/Basic;_MainTex;;;
Assets/Art/Characters/Enemies/Mini Legion Rock Golem PBR HP Polyart/Materials/PBR_Golem.mat;Toon/Basic;_MainTex;;;
Assets/Art/Characters/Enemies/Mini Legion Rock Golem PBR HP Polyart/Materials/Stage 1.mat;Toon/Basic;;;;Sin Albedo de origen — revisar a mano
Assets/Art/World/Fantasy_Kingdom_Pack/Materials/Terrain06.mat;Toon/Basic;_MainTex;;;
Assets/Art/World/Modular Castle/Assets/Materials/castle.mat;Toon/Basic;_MainTex;;;
Assets/Art/World/Unvik_3D/Cross_Plains/FBX/Materials/Cross_Plains.mat;Toon/Basic;_MainTex;;;
Assets/Art/World/Unvik_3D/Cross_Plains/FBX/Materials/Plane_CrossPlains.mat;Toon/Basic;;;;Sin Albedo de origen — revisar a mano
Assets/VFX/RealisticRain/Materials/M_Grid.mat;Shader Graphs/S_GroundGrid;;;;Sin Albedo de origen — revisar a mano
Assets/VFX/RealisticRain/Shader/S_GroundGrid.shadergraph;Shader Graphs/S_GroundGrid;;;;Sin Albedo de origen — revisar a mano
Assets/VFX/RealisticRain/Shader/S_Particle_Lit.shadergraph;Shader Graphs/S_Particle_Lit;;;;Sin Albedo de origen — revisar a mano
Assets/VFX/RealisticRain/Shader/S_Particle_Unlit.shadergraph;Shader Graphs/S_Particle_Unlit;;;;Sin Albedo de origen — revisar a mano
Assets/VFX/RealisticRain/Shader/S_Steam_Lit.shadergraph;Shader Graphs/S_Steam_Lit;;;;Sin Albedo de origen — revisar a mano
Assets/VFX/RealisticRain/Shader/S_Steam_Unit.shadergraph;Shader Graphs/S_Steam_Unit;;;;Sin Albedo de origen — revisar a mano
Assets/VFX/fireAttackEffects/effects/fireBall/fireBallMaterial.mat;Shader Graphs/fireBallShader;;;;Sin Albedo de origen — revisar a mano
Assets/VFX/fireAttackEffects/effects/fireBall/fireBallShader.shadergraph;Shader Graphs/fireBallShader;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/Enemies/Mini Legion Rock Golem PBR HP Polyart/Materials/PolyartStandard.mat;Hidden/InternalErrorShader;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/Enemies/CasualFantasy/Spider1/SourceFiles/Model/Spider1.fbx;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/Enemies/CasualFantasy/_Demo/Mat/Grass.mat;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/Enemies/CasualFantasy/_Demo/Mat/Ground.mat;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/Enemies/CasualFantasy/_Demo/Mat/Mat_Background.mat;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/Enemies/CasualFantasy/_Demo/Mat/Rock.mat;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/Enemies/CasualFantasy/_Demo/Model/Background.fbx;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/Enemies/CasualFantasy/_Demo/Model/Base.fbx;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/Enemies/Imp Demon Cute Series/Cute series demo assets/Fantasy Ground.mat;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/Enemies/Imp Demon Cute Series/FBX/Imp Demon.FBX;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Characters/Enemies/Mini Legion Rock Golem PBR HP Polyart/Meshes/RockMesh.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Characters/Enemies/Monster_Ghosts_FREE/Mesh/Little_Ghost_ZOMBANGEL.fbx;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/Fuego Fatuo/WillOWisp_Green.fbx;Universal Render Pipeline/Lit;;;_EmissionColor;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/RPG Tiny Hero Duo/Animation/BowAndArrow/InPlace/MoveFWD_Normal_InPlace_BowAndArrow.fbx;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/RPG Tiny Hero Duo/Mesh/OHS06PBR.fbx;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/RPG Tiny Hero Duo/Mesh/Shield05PBR.fbx;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Characters/RPG Tiny Hero Duo/Mesh/Shield08PBR.fbx;Universal Render Pipeline/Lit;;;;Sin Albedo de origen — revisar a mano
Assets/Art/Cinematics/Mat_CrystalBallVision.mat;Universal Render Pipeline/Lit;;;_EmissionMap;Sin Albedo de origen — revisar a mano
Assets/Art/Items/BTM_Items_Gems/Models/4SideDiamond.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/5SideDiamond.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Battery.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/BluePill.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/BluePotion.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/BlueVial.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Bomb.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
Assets/Art/Items/BTM_Items_Gems/Models/Clock.fbx;Universal Render Pipeline/Lit;_BaseMap;;;
